,BEV,PHEV,NEV,Passenger Vehicle Sales,BEV/PVS,NEV/PVS,BEV/PVS Annual Growth Rate,,,,,,
2013,14604,3290,17894,17613900,0.000829117912557696,0.0010159022135926739,,,,,,,
2014,21732,16129,37861,19604338,0.0011085301630690105,0.0019312562352271218,0.3369994138100002,,,,,,
2015,52243,59649,111892,21060871,0.002480571672463119,0.00531279071981401,1.2377123826703609,,,,,,
2016,167572,72106,239678,24159155,0.006936169746003119,0.00992079400128026,1.7961980792579764,,,,,,
2017,456097,99868,555965,24818264,0.018377473944188844,0.02240144596737306,1.6495132929494167,,,,,,
2018,717414,228954,946368,23286084,0.030808701025041393,0.040640925283959295,0.6764382917154639,,,,,,
2019,730509,207537,938046,21247801,0.03438045188770358,0.0441479097060444,0.11593318588015297,,,,,,
