,,standard,BEV,Penetrations,,
,2011,1826,1124,0.002022317460660168,,0.615553121577218
,2012,3611,1910,0.003801025281793288,,0.5289393519800609
,2013,5750,4161,0.009986224242453334,,0.7236521739130435
,2014,11860,6825,0.017609631242711032,,0.5754637436762225
,2015,14152,9368,0.020847891398686993,,0.6619559072922555
,2016,21010,13105,0.03423235159668256,,0.6237505949547835
,2017,28414,21115,0.05062638614158125,,0.743119588935032
,2018,33607,44984,0.10135823276522492,,1.3385306632546792
,2019,40957,61965.9,0.13890149154700368,,1.512950167248578
