parameter,Battery demand,,,,,,,,,,,,,,,
category,Historical,,,,,,,,,,,,,,,
powertrain,EV,,,,,,,,,,,,,,,
Aggregate group,(All),,,,,,,,,,,,,,,
Sum of value,,year,,,,,,,,,,,,,,
mode,region_country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Cars,China,0.036,0.14,0.28,0.43,1.7,5,10,17,36,45,50,140,270,380,490
,Europe,0.06,0.38,0.73,1.4,2.5,3.8,4.7,7.5,11,23,51,87,120,160,170
,India,0.0045,0.014,0.0019,0.0041,0.01,0.0045,0.0073,0.0099,0.017,0.023,0.11,0.37,1.6,2.8,3.2
,Rest of the world,0.067,0.36,0.57,0.69,0.87,0.96,1.3,2.6,6.5,7.3,8,16,30,51,69
,USA,0.053,0.52,1.1,2.7,3.4,3.6,6,7.6,19,19,18,38,69,96,110
,World,0.22,1.4,2.7,5.2,8.5,13,22,34,73,95,130,290,490,690,840
