parameter,EV sales,,,,,,,,,,,,,,,
category,Historical,,,,,,,,,,,,,,,
powertrain,BEV,,,,,,,,,,,,,,,
Aggregate group,(Multiple Items),,,,,,,,,,,,,,,
Sum of value,,year,,,,,,,,,,,,,,
mode,region_country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Cars,Africa,,,,34,14,120,100,72,100,290,220,900,2100,3100,8400
,Middle East and Caspian,,41,49,,,110,350,350,300,720,1300,3400,3600,10000,37000
,North America,1200,9800,15000,48000,63000,71000,87000,100000,240000,240000,230000,470000,800000,1100000,1300000
,Europe,1700,11000,19000,33000,62000,89000,93000,140000,200000,360000,750000,1200000,1600000,2200000,2200000
,Asia Pacific,4100,19000,24000,31000,68000,160000,280000,510000,910000,900000,990000,2900000,4800000,6000000,7000000
,World,7000,40000,58000,110000,200000,330000,470000,760000,1400000,1500000,2000000,4700000,7300000,9500000,11000000
