,,Chery eQ1,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
,,Retail Price,65000,59928,55343.200000000004,51196.880000000005,47445.192,44048.6728,40971.80552,38182.624968000004,35652.3624712,33355.12622408,31267.613601671997,29368.8522415048
,,Purchase Tax,0,0,5534.320000000001,5119.688000000001,4744.519200000001,4404.86728,4097.180552000001,3818.2624968000005,3565.2362471200004,3335.512622408,3126.7613601672,2936.88522415048
,,Consumer Final Price,65000,59928,60877.520000000004,56316.56800000001,52189.711200000005,48453.54008,45068.986072,42000.887464800006,39217.598718320005,36690.638846488,34394.374961839196,32305.73746565528
,,Dealer Gross Profit(5%),3250,2996.4,2767.1600000000003,2559.8440000000005,2372.2596000000003,2202.43364,2048.5902760000004,1909.1312484000002,1782.6181235600002,1667.756311204,1563.3806800836,1468.44261207524
,,Range (km),301,301,301,301,301,301,301,301,301,301,301,301
,,Battery (kwh),30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6
,,Battery Price/wh,1.2,1.08,0.9720000000000001,0.8748000000000001,0.7873200000000001,0.7085880000000001,0.6377292000000001,0.5739562800000001,0.5165606520000001,0.46490458680000013,0.4184141281200001,0.3765727153080001
,,Subsidies,27000,28000,0,0,0,0,0,0,0,0,0,0
,,Auto Company Revenue,88750,84931.6,52576.04,48637.03600000001,45072.932400000005,41846.23916,38923.215244,36273.4937196,33869.74434764,31687.369912875998,29704.2329215884,27900.40962942956
,,Revenue (after vat),77212.5,73890.492,45741.154800000004,42314.221320000004,39213.45118800001,36406.2280692,33863.19726228,31557.939536052003,29466.6775824468,27568.01182420212,25842.682641781907,24273.356377603715
,,Power Battery System Cost,36720,33048,29743.200000000004,26768.88000000001,24091.992000000006,21682.792800000003,19514.513520000004,17563.062168000004,15806.755951200004,14226.080356080005,12803.472320472003,11523.125088424804
,,"Electric Motor &
Electric Controlling",5000,4800,4600,4400,4200,4000,3800,3600,3400,3200,3000,2800
,,Other Cost,12000,10800,9720,8748,7873.2,7085.88,6377.292,5739.562800000001,5165.60652,4649.045868,4184.1412812,3765.72715308
,,Profit Margin(BEV),23492.5,25242.492,1677.9547999999995,2397.341319999996,3048.259188000001,3637.5552691999956,4171.391742279998,4655.314568051998,5094.315111246794,5492.885600122115,5855.069040109904,6184.504136098912
,,PM/Revenue,0.2647042253521127,0.2972096604797272,0.031914818993594794,0.04929044853802348,0.0676294846083722,0.08692669502011219,0.10716976272722013,0.12833929381157316,0.15040902166129752,0.17334621381404422,0.19711227876396584,0.2216635604365984
,,Chery QQ6,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
,,Retail Price,55000,55300,55606,55918.12,56236.4824,56561.212048,56892.43628896,57230.2850147392,57574.89071503398,57926.388529334654,58284.916299921344,58650.61462591978
,,Purchase Tax,5500,5530,5560.6,5591.812000000001,5623.64824,5656.121204800001,5689.243628896001,5723.02850147392,5757.489071503398,5792.638852933465,5828.491629992135,5865.061462591978
,,Consumer Final Price,60500,60830,61166.6,61509.932,61860.13064,62217.3332528,62581.679917856,62953.31351621312,63332.37978653738,63719.02738226812,64113.407929913476,64515.676088511755
,,Dealer Gross Profit (5%),2750,2765,2780.3,2795.9060000000004,2811.82412,2828.0606024000003,2844.6218144480004,2861.51425073696,2878.744535751699,2896.3194264667327,2914.2458149960676,2932.530731295989
,,Auto Company Revenue,52250,52535,52825.7,53122.214,53424.65828,53733.1514456,54047.814474512,54368.77076400224,54696.14617928228,55030.06910286792,55370.67048492528,55718.083894623785
,,Revenue (after vat),45457.5,45705.45,45958.359,46216.32618,46479.4527036,46747.841757672,47021.59859282544,47300.83056468195,47585.64717597559,47876.16011949509,48172.48332188499,48474.73298832269
,,Motor Cost,10000,10200,10404,10612.08,10824.3216,11040.808031999999,11261.62419264,11486.8566764928,11716.593810022656,11950.925686223109,12189.944199947571,12433.743083946523
,,Transmission Cost,5000,5100,5202,5306.04,5412.1608,5520.4040159999995,5630.81209632,5743.4283382464,5858.296905011328,5975.462843111554,6094.972099973786,6216.871541973262
,,48V System Cost,0,0,0,0,0,0,0,0,0,0,0,0
,,Other Cost,16000,16000,16000,16000,16000,16000,16000,16001,16002,16003,16004,16005
,,Profit Margin(ICEV),14457.5,14405.449999999997,14352.358999999997,14298.206179999994,14242.9703036,14186.629709672,14129.162303865443,14069.545549942755,14008.756460941604,13946.771590160424,13883.56702196363,13819.118362402907
,,PM/Revenue,0.27669856459330144,0.2742067193299704,0.27169273667930566,0.2691568197816453,0.2665991840126001,0.2640200570412233,0.2614196788757945,0.2587799089851458,0.25611962522960746,0.253439107337657,0.25073864738089896,0.2480185497501702
,,,4500,-902,-289.07999999999447,-5193.363999999994,-9670.419439999998,-13763.793172800004,-17512.693845856003,-20952.426051413117,-24114.781068217373,-27028.38853578012,-29719.03296807428,-32209.938622856476
