,,A00 Class BEV Sample Avg,,,,,,,,,,,,,,,,,,,,,,,,
,,NPV Insurance Cost,25305.9903432754,21657.07245861413,21026.283940402063,20413.867903302973,19819.289226507743,19242.028375250236,18681.58094684489,18137.457229946493,17609.18177664709,17096.292987036006,16598.342705860196,16114.895830932232,,,,,,,,,,,,
,,NPV Vehicle and Vessel Tax,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,,Residual Value after Depreciation,9521.25,8760.449999999999,8072.7300000000005,7450.782,6888.0288,6378.55092,5917.020828,5498.6437452,5119.10437068,4774.518933612,4461.3920402508,4176.577836225721,,,,,,,,,,,,
,,TCO ,82008.78178586805,73968.3325970536,74744.30038548891,70117.17565290186,65885.00107106006,62009.70240466152,58456.97144446076,55195.89061088099,52198.59506211856,49439.96855731434,46897.369700280164,44550.385526689264,,,,,,,,,,,,
,,A00 Class ICEV Sample Avg,,,,,,,,,,,,,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,,
,,Retail Price,51066,51366,51672,51984.12,52302.4824,52627.212048,52958.43628896,53296.2850147392,53640.89071503398,53992.388529334654,54350.916299921344,54716.61462591978,,,,,,,,,,,,
,,Purchase Tax,5500,5530,5560.6,5591.812000000001,5623.64824,5656.121204800001,5689.243628896001,5723.02850147392,5757.489071503398,5792.638852933465,5828.491629992135,5865.061462591978,,,,,,,,,,,,
,,Consumer Final Price,60500,60830,61166.6,61509.932,61860.13064,62217.3332528,62581.679917856,62953.31351621312,63332.37978653738,63719.02738226812,64113.407929913476,64515.676088511755,,,,,,,,,,,,
,,Range/Day (km),10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,
,,Years of Usage,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,,,,,,,
,,Oil/hundred KM (L/100km),5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,,,,,,,,,,,,
,,Oil Price (RMB/Litre),7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,
,,Discount Rate,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,,
,,NPV Energy Cost,9790.88766381325,9505.716178459466,9228.850658698511,8960.049183202438,8699.076876895571,8445.705705723856,8199.714277401801,7960.887647962914,7729.017133944578,7503.900130043279,7285.339932080854,7073.145565127043,,,,,,,,,,,,
,,NPV Maintenance Cost,4200,4074,3951.7799999999997,3833.2265999999995,3718.2298019999994,3606.6829079399995,3498.4824207017996,3393.5279480807453,3291.7221096383228,3192.970446349173,3097.1813329586976,3004.2658929699364,,,,,,,,,,,,
,,NPV Insurance Cost,21690.848865664626,21059.076568606433,20445.705406414014,19850.199423702925,19272.038275439732,18710.716772271586,18165.74443909863,17636.645086503522,17122.956394663615,16624.22950938215,16140.02864988558,15669.930728044254,,,,,,,,,,,,
,,NPV Vehicle and Vessel Tax,360,349.2,338.724,328.56228,318.7054116,309.144249252,299.86992177444,290.8738241212068,282.1476093975706,273.6831811156435,265.4726856821742,257.5085051117089,,,,,,,,,,,,
,,Residual Value after Depreciation,17873.1,17978.1,18085.199999999997,18194.442,18305.86884,18419.5242168,18535.452701136,18653.69975515872,18774.31175026189,18897.335985267127,19022.82070497247,19150.81511907192,,,,,,,,,,,,
,,TCO ,78308.63652947787,77490.69274706588,76707.73606511252,75958.96520690537,75243.60675433531,74560.91442193545,73910.16835392223,73290.6744436016,72701.76367452202,72142.7914827756,71613.13713986614,71112.20315558107,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,,
,,A00 (10km/day),3700.145256390184,-3522.3601500122895,-1963.4356796236098,-5841.78955400351,-9358.605683275251,-12551.21201727393,-15453.196909461469,-18094.783832720612,-20503.16861240346,-22702.82292546126,-24715.76743958598,-26561.817628891804,,,,,,,,,,,,
