,,BAIC EU5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,,,,,
,,Retail Price,182800,173276,164684.40000000002,156931.96000000002,149934.76400000002,143617.2876,137911.55884,132756.402956,128096.76266040001,123883.08639436001,120070.77775492401,116619.6999794316,,,,,,,,,,,,,,,
,,Purchase Tax,0,0,16468.440000000002,15693.196000000004,14993.476400000003,14361.728760000002,13791.155884000002,13275.640295600002,12809.676266040002,12388.308639436002,12007.077775492402,11661.96999794316,,,,,,,,,,,,,,,
,,Consumer Final Price,182800,173276,181152.84000000003,172625.15600000002,164928.24040000004,157979.01636,151702.71472400002,146032.0432516,140906.43892644002,136271.39503379603,132077.85553041642,128281.66997737477,,,,,,,,,,,,,,,
,,Dealer Gross Profit(5%),9140,8663.800000000001,8234.220000000001,7846.598000000002,7496.738200000002,7180.864380000001,6895.577942000001,6637.820147800001,6404.838133020001,6194.154319718001,6003.538887746201,5830.98499897158,,,,,,,,,,,,,,,
,,Range (km),450,450,450,450,450,450,450,450,450,450,450,450,,,,,,,,,,,,,,,
,,Battery (kwh),60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.2,,,,,,,,,,,,,,,
,,Battery Price/wh,1.2,1.08,0.9720000000000001,0.8748000000000001,0.7873200000000001,0.7085880000000001,0.6377292000000001,0.5739562800000001,0.5165606520000001,0.46490458680000013,0.4184141281200001,0.3765727153080001,,,,,,,,,,,,,,,
,,Subsidies,34000,35000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,Auto Company Revenue,207660,199612.2,156450.18000000002,149085.36200000002,142438.02580000003,136436.42322,131015.98089800001,126118.58280820001,121691.92452738,117688.93207464201,114067.23886717782,110788.71498046003,,,,,,,,,,,,,,,
,,Revenue (after vat),180664.2,173662.614,136111.65660000002,129704.26494000002,123921.08244600003,118699.6882014,113983.90338126001,109723.167043134,105871.9743388206,102389.37090493855,99238.4978144447,96386.18203300022,,,,,,,,,,,,,,,
,,Power Battery System Cost,72240,65016,58514.40000000001,52662.960000000014,47396.66400000001,42656.99760000001,38391.29784000001,34552.16805600001,31096.95125040001,27987.256125360007,25188.530512824007,22669.677461541607,,,,,,,,,,,,,,,
,,"Electric Motor &
Electric Controlling",10000,9800,9600,9400,9200,9000,8800,8600,8400,8200,8000,7800,,,,,,,,,,,,,,,
,,Other Cost,21000,18900,17010,15309,13778.1,12400.29,11160.261,10044.234900000001,9039.811410000002,8135.830269000002,7322.247242100002,6590.022517890002,,,,,,,,,,,,,,,
,,Profit Margin(BEV),77424.20000000001,79946.614,50987.25660000001,52332.30494,53546.31844600003,54642.40060139998,55632.34454126001,56526.76408713399,57335.211678420594,58066.28451057855,58727.720059520696,59326.482053568616,,,,,,,,,,,,,,,
,,PM/Revenue,0.3728411827024945,0.4005096582273027,0.32590091363269763,0.3510224225769395,0.3759271314331851,0.4004971642600936,0.42462258542773884,0.4482032927145984,0.4711505048596753,0.4933878104506131,0.5148517720140875,0.5354921037222258,,,,,,,,,,,,,,,
,,BAIC D50,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,,,,,
,,Retail Price,131400,131860,132329.2,132807.784,133295.93968000004,133793.85847360003,134301.73564307202,134819.77035593346,135348.16576305212,135887.12907831316,136436.87165987943,136997.60909307702,,,,,,,,,,,,,,,
,,Purchase Tax,13140,13186,13232.920000000002,13280.778400000003,13329.593968000005,13379.385847360005,13430.173564307202,13481.977035593347,13534.816576305213,13588.712907831316,13643.687165987943,13699.760909307703,,,,,,,,,,,,,,,
,,Consumer Final Price,144540,145046,145562.12000000002,146088.56240000002,146625.53364800004,147173.24432096005,147731.9092073792,148301.74739152682,148882.98233935735,149475.84198614449,150080.55882586737,150697.3700023847,,,,,,,,,,,,,,,
,,Dealer Gross Profit (5%),6570,6593,6616.460000000001,6640.389200000001,6664.796984000002,6689.692923680002,6715.086782153601,6740.9885177966735,6767.4082881526065,6794.356453915658,6821.843582993972,6849.880454653851,,,,,,,,,,,,,,,
,,Auto Company Revenue,124830,125267,125712.74,126167.39480000001,126631.14269600004,127104.16554992003,127586.64886091842,128078.78183813678,128580.75747489951,129092.7726243975,129615.02807688546,130147.72863842317,,,,,,,,,,,,,,,
,,Revenue (after vat),108602.1,108982.29,109370.08380000001,109765.633476,110169.09414552004,110580.62402843042,111000.38450899902,111428.540199179,111865.25900316257,112310.71218322583,112765.07442689035,113228.52391542816,,,,,,,,,,,,,,,
,,Motor Cost,15000,15300,15606,15918.12,16236.4824,16561.212048,16892.43628896,17230.285014739202,17574.890715033987,17926.38852933467,18284.916299921362,18650.61462591979,,,,,,,,,,,,,,,
,,Transmission Cost,8000,8160,8323.2,8489.664,8659.45728,8832.6464256,9009.299354112,9189.48534119424,9373.275048018126,9560.740548978489,9751.95535995806,9946.994467157221,,,,,,,,,,,,,,,
,,48V System Cost,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,,,,,,,,,,,,,,,
,,Other Cost,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,,,,,,,,,,,,,,,
,,Profit Margin(ICEV),49602.100000000006,49522.28999999999,49440.88380000001,49357.849476,49273.15446552003,49186.76555483042,49098.648865927025,49008.76984324555,48917.09324011045,48823.58310491267,48728.20276701094,48630.91482235116,,,,,,,,,,,,,,,
