,,PM/Revenue,0.39735720579988787,0.3953338868177572,0.3932845931128381,0.3912092308337019,0.38910771407795597,0.38697996514923316,0.38482591481377665,0.3826455025562453,0.3804386768343595,0.3782053953319878,0.3759456252102664,0.373659343356331,,,,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,,,,,
,,,38260,28230,35590.72,26536.593599999993,18302.706752,10805.772039039963,3970.805516620807,-2269.70413992682,-7976.543412917323,-13204.446952348459,-18002.70329545095,-22415.700025009937,,,,,,,,,,,,,,,
,ICEV           BEV,,"BAIC EU 5
北汽EU5",,"JAC iEV7L
江淮iEV7L",,"Roewe ei5
荣威ei5",,"GAC NE Aion S
广汽新能源AionS",,"BYD Yuan EV360（SUV）
比亚迪 元 EV360",,"BYD Yuan EV（SUV）
比亚迪 元 EV",,"BMW i3
宝马i3","Volkswagen e-Golf
大众e高尔夫",,"Volkswagen e-Bora
大众e宝来",,"Hyundai ENCINO（SUV）
现代昂希诺纯电",,"Honda VE-1（SUV）
本田VE-1纯电",,"Honda XNV（SUV）
本田XNV",,"Buick Velite 6
别克微蓝6",,,
,,,152400,,109150,,143800,,173300,,117900,,144350,,305800,158250,,141800,,207550,,169800,,174800,,182800,,,14571.842033418889
,"BAIC D50
北汽绅宝D50",84900,2029,,2022,,2028,,Post 2030,,2023,,2028,,Post 2030,Post 2030,,2027,,Post 2030,,Post 2030,,Post 2030,,Post 2030,,,
,"JAC Heyue A30
江淮和悦A30",62900,Post 2030,,2025,,Post 2030,,Post 2030,,2027,,Post 2030,,Post 2030,Post 2030,,Post 2030,,Post 2030,,Post 2030,,Post 2030,,Post 2030,,,
,"Roewe i5GL
荣威i5GL",107900,2025,,2019,,2024,,2029,,2019,,2024,,Post 2030,2026,,2023,,Post 2030,,2028,,2029,,Post 2030,,,
,"Roewe i6 Plus
荣威i6 Plus",114800,2024,,2019,,2023,,2027,,2019,,2023,,Post 2030,2025,,2022,,Post 2030,,2027,,2028,,2030,,,
,"BYD Tang （SUV）
比亚迪唐",149900,2019,,2019,,2019,,2020,,2019,,2019,,Post 2030,2019,,2019,,2027,,2020,,2020,,2023,,,
,"BYD Song （SUV）
比亚迪宋",109850,2025,,2019,,2023,,2029,,2019,,2023,,Post 2030,2026,,2023,,Post 2030,,2028,,2029,,Post 2030,,,
,"BMW 1
宝马1系",221300,2019,,2019,,2019,,2019,,2019,,2019,,Post 2030,2019,,2019,,2019,,2019,,2019,,2019,,,
,"BMW 2
宝马2系",278800,2019,,2019,,2019,,2019,,2019,,2019,,2019,2019,,2019,,2019,,2019,,2019,,2019,,,
,"Volkswagen Golf GTI
大众高尔夫GTI",222700,2019,,2019,,2019,,2019,,2019,,2019,,Post 2030,2019,,2019,,2019,,2019,,2019,,2019,,,
,"Volkswagen Bora
大众宝来",133500,2020,,2019,,2019,,2024,,2019,,2019,,Post 2030,2022,,2019,,Post 2030,,2024,,2025,,2026,,,
,"Hyundai Encore（SUV）
现代昂希诺",142900,2019,,2019,,2019,,2023,,2019,,2019,,Post 2030,2020,,2019,,2028,,2022,,2023,,2024,,,
,"Honda VEZEL （SUV）
本田缤智",152300,2019,,2019,,2019,,2020,,2019,,2019,,Post 2030,2019,,2019,,2027,,2020,,2020,,2023,,,
,"Buick EXCELLE GT
别克英朗",131400,2020,,2019,,2019,,2025,,2019,,2019,,Post 2030,2022,,2019,,Post 2030,,2024,,2025,,2026,,,
,,32585.67434992724,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short term,87,0.514792899408284,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle term,25,0.14792899408284024,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long term,57,0.33727810650887574,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW2,,,,,,,,,,,,,,,,,,160144.44444444444,,,,,,,,,,,
VK GTI,,,,,,,,,,,,,,,,140427.77777777778,,,,,,,,,,,,,
BAIC D50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC heyue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMWi3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyundai Encore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC iev7l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BYD yuan EV360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short,42,0.5185185185185185,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle,23,0.2839506172839506,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long,14,0.1728395061728395,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 2030,2,0.024691358024691357,,,,,,,,,,,,,,,,,,,,,,,,,,,
