,,BYD Qin Pro EV,,,,,,,,,,,,,,,,,,
,,Motor Cost,20000,20400,20808,21224.16,21648.6432,22081.616063999998,22523.24838528,22973.7133529856,23433.18762004531,23901.851372446217,24379.888399895142,24867.486167893047,,,,,,
,,Transmission Cost,10000,10200,10404,10612.08,10824.3216,11040.808031999999,11261.62419264,11486.8566764928,11716.593810022656,11950.925686223109,12189.944199947571,12433.743083946523,,,,,,
,,48V System Cost,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,,,,,,
,,Other Cost,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,,,,,,
,,Profit Margin(ICEV),39974.350000000006,39870.25,39764.068,39655.76235999998,39545.290607199975,39432.60941934399,39317.67460773089,39200.44109988552,39080.86292188321,38958.893180320854,38834.484043927296,38707.586724805835,,,,,,
,,PM/Revenue,0.30513606350902645,0.3030229906897207,0.3008864345578421,0.298726427356056,0.29654301133482547,0.2943362389434085,0.29210617301514463,0.28985288694658506,0.28757646487001726,0.28527700181893534,0.2829546038860024,0.2806093883730558,,,,,,
,,,-16790,-29490,-29818.79999999999,-41274.903999999995,-51689.79727999997,-61169.248905600005,-69808.483995712,-77693.23877642624,-84900.71014267475,-91500.41027717624,-97554.93582120299,-103120.66014226194,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,
,ICEV            BEV,,"BYD Qin Pro EV-Supreme
比亚迪秦Pro EV","BYD QIN EV
比亚迪秦EV","BYD QIN EV450
比亚迪秦EV450","BAIC EU7
北汽EU7","JAC iC5
江淮iC5","JAC iEVA50
江淮iEVA50","Nissan Sylphy
尼桑轩逸","GAC NE GE3
广汽新能源GE3","Tesla Model 3
特斯拉 Model 3","Hyundai lafesta ev
现代菲斯塔","Toyota IZOA
丰田奕泽","Ford Territory EV （SUV）
福特领界","Weltmeister EX6 （SUV）
威马EX6","Weltmeister EX5 （SUV）
威马EX5","Roewe RX5 eMax （SUV）
荣威RX5","Changan EADO EV460
长安逸动EV460",,
,,,199900,164850,184900,167900,167500,142500,169500,163300,404475,186300,174800,202900,214900,164800,215800,134900,,16786.235163735262
,"BYD QIN PRO
比亚迪秦Pro",97800,Post 2030,2026,2030,2027,2027,2024,2027,2026,Post 2030,2030,2029,Post 2030,Post 2030,2026,Post 2030,2023,,
