,,A00 Class BEV Sample Avg,,,,,,,,,,,,,,,,,,,,,,,
,,NPV Insurance Cost,16509.844409836296,16028.97515518087,15562.111801146475,15108.846408880074,14668.78292124279,14241.536816740572,13826.734773534536,13424.014343237413,13033.023634211082,12653.42100408843,12284.874761250901,11927.062875000876,,,,,,,,,,,
,,NPV Vehicle and Vessel Tax,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
,,Residual Value after Depreciation,9521.25,8760.449999999999,8072.7300000000005,7450.782,6888.0288,6378.55092,5917.020828,5498.6437452,5119.10437068,4774.518933612,4461.3920402508,4176.577836225721,,,,,,,,,,,
,,TCO ,129196.86153983415,122684.67770857686,122032.82330929792,116019.73042844459,110442.21467852872,105261.01074486943,100440.65426355305,95949.1054008283,91757.40996703517,87839.39431476088,84171.39064585515,80731.98968938425,,,,,,,,,,,
,,A00 Class ICEV Sample Avg,,,,,,,,,,,,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,
,,Retail Price,51066,51366,51672,51984.12,52302.4824,52627.212048,52958.43628896,53296.2850147392,53640.89071503398,53992.388529334654,54350.916299921344,54716.61462591978,,,,,,,,,,,
,,Purchase Tax,5500,5530,5560.6,5591.812000000001,5623.64824,5656.121204800001,5689.243628896001,5723.02850147392,5757.489071503398,5792.638852933465,5828.491629992135,5865.061462591978,,,,,,,,,,,
,,Consumer Final Price,60500,60830,61166.6,61509.932,61860.13064,62217.3332528,62581.679917856,62953.31351621312,63332.37978653738,63719.02738226812,64113.407929913476,64515.676088511755,,,,,,,,,,,
,,Range/Day (km),300,300,300,300,300,300,300,300,300,300,300,300,,,,,,,,,,,
,,Years of Usage,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
,,Oil/hundred KM (L/100km),5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,,,,,,,,,,,
,,Oil Price (RMB/Litre),7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,
,,Discount Rate,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,
,,NPV Energy Cost,191629.76406496984,186048.31462618432,180629.43167590714,175368.38026787102,170260.56336686507,165301.5178319078,160486.91051641537,155812.53448195665,151274.305322288,146868.2575944544,142590.54135383922,138437.41879013518,,,,,,,,,,,
,,NPV Maintenance Cost,97800,94866,92020.02,89259.4194,86581.636818,83984.18771345999,81464.6620820562,79020.7222195945,76650.10055300668,74350.59753641648,72120.07961032398,69956.47722201426,,,,,,,,,,,
,,NPV Insurance Cost,14151.29520843111,13739.1215615836,13338.952972411265,12950.439779040062,12573.24250392239,12207.031557206205,11851.486948743888,11506.298008489211,11171.16311503807,10845.789432075795,10529.892652500772,10223.196750000749,,,,,,,,,,,
,,NPV Vehicle and Vessel Tax,360,349.2,338.724,328.56228,318.7054116,309.144249252,299.86992177444,290.8738241212068,282.1476093975706,273.6831811156435,265.4726856821742,257.5085051117089,,,,,,,,,,,
,,Residual Value after Depreciation,17873.1,17978.1,18085.199999999997,18194.442,18305.86884,18419.5242168,18535.452701136,18653.69975515872,18774.31175026189,18897.335985267127,19022.82070497247,19150.81511907192,,,,,,,,,,,
,,TCO ,346207.95927340095,337505.3361877679,329069.8046483184,320893.7294469111,312969.70448878745,305290.546138574,297849.2867639354,290639.16847109474,283653.6370266083,276886.33595994767,270331.100841605,263981.95373159007,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,
,,A00 (300km/day),-217011.0977335668,-214820.65847919107,-207036.98133902048,-204873.9990184665,-202527.48981025873,-200029.5353937046,-197408.63250038237,-194690.06307026645,-191896.2270595731,-189046.9416451868,-186159.71019574982,-183249.96404220583,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,
,,A00 (10km/day),3700.145256390184,-3522.3601500122895,-1963.4356796236098,-5841.78955400351,-9358.605683275251,-12551.21201727393,-15453.196909461469,-18094.783832720612,-20503.16861240346,-22702.82292546126,-24715.76743958598,-26561.817628891804,,,,,,,,,,,
,,A00 (20km/day),-8441.700964830437,-15306.366190032291,-13400.149893235255,-16941.449287607073,-20131.146446618484,-23006.276384656514,-25600.14315838532,-27942.69432773278,-30060.857941648806,-31978.84579724045,-33718.42634599941,-35299.17028344058,,,,,,,,,,,
,,A00 (40km/day),-32725.39340727165,-38874.37827007231,-36273.578320458575,-39140.768754814184,-41676.227973304995,-43916.40511942167,-45894.03565623298,-47638.51531775714,-49176.23660013953,-50530.891540798875,-51723.74415882626,-52773.87559253812,,,,,,,,,,,
,,A00 (60km/day),-57009.085849712865,-62442.39035011237,-59147.006747681924,-61340.08822202128,-63221.30949999152,-64826.53385418684,-66187.92815408068,-67334.33630778149,-68291.61525863023,-69082.93728435735,-69729.06197165311,-70248.58090163568,,,,,,,,,,,
,,A00 (80km/day),-80692.77829215408,-85428.40243015233,-81455.89517490522,-82991.80388922837,-84235.21534067806,-85221.42217353197,-85982.03744897095,-86545.36759093718,-86936.74790145837,-87178.84439272303,-87291.92530834302,-87294.10536888035,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
,,Annual range,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500
,,Electricity amount,12702,12702,12702,12702,12702,12702,12702,12702,12702,12702,12702,12702,12702,12702,12702,12702,12702,12702,12702,12702,12702,12702,12702
