,,C Class BEV Sample Avg,,,,,,,,,,,,,,,,,,,,,,,,,
,,Retail Price,532285.7142857143,534885.7142857143,537537.7142857143,540242.7542857144,543001.8950857143,545816.2187017143,548686.8287900343,551614.8510801207,554601.4338160087,557647.7482066146,560754.9888850326,563924.374377019,,,,,,,,,,,,,
,,Purchase Tax,53228.571428571435,53488.571428571435,53753.77142857143,54024.27542857144,54300.189508571435,54581.62187017143,54868.682879003434,55161.48510801207,55460.14338160088,55764.77482066146,56075.498888503265,56392.437437701905,,,,,,,,,,,,,
,,Consumer Final Price,585514.2857142858,588374.2857142858,591291.4857142858,594267.0297142857,597302.0845942857,600397.8405718857,603555.5116690377,606776.3361881328,610061.5771976096,613412.5230272762,616830.4877735359,620316.8118147209,,,,,,,,,,,,,
,,Range/Day (km),30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,
,,Years of Usage,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,,,,,,,,
,,Oil/hundred KM (L/100km),7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,
,,Oil Price (RMB/Litre),7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,
,,Discount Rate,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,,,
,,NPV Energy Cost,38794.08319624119,37664.158442952605,36567.14411937147,35502.08166929269,34468.040455623974,33464.11694720774,32489.433929327904,31543.139737211557,30624.40751185588,29732.434477529983,28866.44124032037,28025.67110710716,,,,,,,,,,,,,
,,NPV Maintenance Cost,15000,14550,14113.5,13690.095,13279.39215,12881.0103855,12494.580073935,12119.74267171695,11756.150391565441,11403.465879818477,11061.361903423922,10729.521046321204,,,,,,,,,,,,,
,,NPV Insurance Cost,28921.13182088617,28078.76875814191,27260.94054188535,26466.932564937233,25696.051033919644,22142.10284225689,18691.667704720232,15341.730677985615,12089.3646326122,8931.727695356458,5866.060765981951,2889.6851063950494,,,,,,,,,,,,,
,,NPV Vehicle and Vessel Tax,360,349.2,338.724,328.56228,318.7054116,309.144249252,299.86992177444,290.8738241212068,282.1476093975706,273.6831811156435,265.4726856821742,257.5085051117089,,,,,,,,,,,,,
,,Residual Value after Depreciation,186300,187210,188138.2,189084.964,190050.66327999998,191035.6765456,192040.39007651198,193065.1978780422,194110.50183560303,195176.71187231512,196264.24610976139,197373.53103195663,,,,,,,,,,,,,
,,TCO ,481929.50073141314,481457.21291538025,481094.8703755425,480841.1749485156,480694.90495382936,477849.39420125034,475190.8033005089,472715.7513970046,470420.99789804,468303.43920766586,466360.1055735006,464588.1580425877,,,,,,,,,,,,,
,,C 30km/day,457.5613810615614,-14439.92376318574,20495.951603009773,6752.471594877716,-5801.830632066121,-17503.429999420187,-28249.269294099882,-38141.69816876174,-47272.88222983171,-55725.82495589409,-63575.287420857174,-70888.61604352394,,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,,
,,Annual range,10950,10950,10950,10950,10950,10950,10950,10950,10950,10950,10950,10950,10950,10950,10950,10950,10950,10950,10950,10950,10950,10950,10950,,
,,Electricity amount,1817.7,1817.7,1817.7,1817.7,1817.7,1817.7,1817.7,1817.7,1817.7,1817.7,1817.7,1817.7,1817.7,1817.7,1817.7,1817.7,1817.7,1817.7,1817.7,1817.7,1817.7,1817.7,1817.7,,
,,Electricity Cost,1454.16,1454.16,1454.16,1454.16,1454.16,1454.16,1454.16,1454.16,1454.16,1454.16,1454.16,1454.16,1454.16,1454.16,1454.16,1454.16,1454.16,1454.16,1454.16,1454.16,1454.16,1454.16,1454.16,,
,,Discounted Electricity Cost,1454.16,1411.8058252427186,1370.6852672259404,1330.7623953649907,1292.0023255970784,1254.3711899000762,1217.836106699103,1182.3651521350514,1147.927332169953,1114.4925555048087,1082.031607286222,1050.5161235788562,1019.918566581414,990.2122005644796,961.3710685092034,933.369969426411,906.1844363363216,879.7907148896326,854.1657426112938,829.2871287488289,805.1331347076009,781.6826550559233,758.9151990834206,,
,,Electricity Cost NPV,10513.98826216496,10207.755594334913,9910.442324597001,9621.788664657284,9341.542392871148,9069.458633855485,8805.299644519888,8548.834606329989,8299.839423621348,8058.096527787717,7823.394687172541,7595.528822497612,,,,,,,,,,,,,
,,Maintenance Cost,10800,,,,,,,,,,,,,,,,,,,,,,,,
,,Insurance cost,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,,
,,Discounted Insurance Cost,4300,4174.757281553398,4053.162409275144,3935.1091352185863,3820.4943060374626,3709.2177728519055,3601.182303739714,3496.293498776421,3394.4597075499237,3295.591949077596,3199.6038340559185,3106.411489374678,,,,,,,,,,,,,
,,Insurance cost NPV,31090.216707452633,30184.676415002552,29305.51108252675,28451.952507307524,27623.254861463614,23802.760555426157,20093.54278257425,16492.360478834536,12996.066980058116,9601.607272508192,6306.015323430596,3106.411489374678,,,,,,,,,,,,,
,,Annual range,10950,10950,10950,10950,10950,10950,10950,10950,10950,10950,10950,10950,10950,10950,10950,10950,10950,10950,10950,10950,10950,10950,10950,,
,,Oil amount,766.5000000000001,766.5000000000001,766.5000000000001,766.5000000000001,766.5000000000001,766.5000000000001,766.5000000000001,766.5000000000001,766.5000000000001,766.5000000000001,766.5000000000001,766.5000000000001,766.5000000000001,766.5000000000001,766.5000000000001,766.5000000000001,766.5000000000001,766.5000000000001,766.5000000000001,766.5000000000001,766.5000000000001,766.5000000000001,766.5000000000001,,
,,Oil cost,5365.500000000001,5365.500000000001,5365.500000000001,5365.500000000001,5365.500000000001,5365.500000000001,5365.500000000001,5365.500000000001,5365.500000000001,5365.500000000001,5365.500000000001,5365.500000000001,5365.500000000001,5365.500000000001,5365.500000000001,5365.500000000001,5365.500000000001,5365.500000000001,5365.500000000001,5365.500000000001,5365.500000000001,5365.500000000001,5365.500000000001,,
,,Discounted Oil cost,5365.500000000001,5209.223300970874,5057.49835045716,4910.192573259378,4767.17725559163,4628.327432613233,4493.521779236148,4362.642504112765,4235.5752467114235,4112.208977389731,3992.4359003783798,3876.15135959066,3763.2537471753985,3653.644414733397,3547.227587119802,3443.910278757089,3343.602212385524,3246.2157401801205,3151.6657671651656,3059.869676859384,2970.7472590867806,2884.220639890079,2800.214213485513,,
,,NPV oil,38794.08319624119,37664.158442952605,36567.14411937147,35502.08166929269,34468.040455623974,33464.11694720774,32489.433929327904,31543.139737211557,30624.40751185588,29732.434477529983,28866.44124032037,28025.67110710716,,,,,,,,,,,,,
