,,Retail Price,532285.7142857143,534885.7142857143,537537.7142857143,540242.7542857144,543001.8950857143,545816.2187017143,548686.8287900343,551614.8510801207,554601.4338160087,557647.7482066146,560754.9888850326,563924.374377019,,,,,,,,,,,
,,Purchase Tax,53228.571428571435,53488.571428571435,53753.77142857143,54024.27542857144,54300.189508571435,54581.62187017143,54868.682879003434,55161.48510801207,55460.14338160088,55764.77482066146,56075.498888503265,56392.437437701905,,,,,,,,,,,
,,Consumer Final Price,585514.2857142858,588374.2857142858,591291.4857142858,594267.0297142857,597302.0845942857,600397.8405718857,603555.5116690377,606776.3361881328,610061.5771976096,613412.5230272762,616830.4877735359,620316.8118147209,,,,,,,,,,,
,,Range/Day (km),60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,,,,
,,Years of Usage,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,,,,,,
,,Oil/hundred KM (L/100km),7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,
,,Oil Price (RMB/Litre),7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,
,,Discount Rate,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,
,,NPV Energy Cost,77588.16639248238,75328.31688590521,73134.28823874294,71004.16333858538,68936.08091124795,66928.23389441548,64978.86785865581,63086.279474423114,61248.81502371176,59464.86895505997,57732.88248064074,56051.34221421432,,,,,,,,,,,
,,NPV Maintenance Cost,31200,30264,29356.079999999998,28475.397599999997,27621.135671999997,26792.501601839995,25988.726553784792,25209.064757171247,24452.79281445611,23719.209030022423,23007.63275912175,22317.403776348096,,,,,,,,,,,
,,NPV Insurance Cost,28921.13182088617,28078.76875814191,27260.94054188535,26466.932564937233,25696.051033919644,22142.10284225689,18691.667704720232,15341.730677985615,12089.3646326122,8931.727695356458,5866.060765981951,2889.6851063950494,,,,,,,,,,,
,,NPV Vehicle and Vessel Tax,360,349.2,338.724,328.56228,318.7054116,309.144249252,299.86992177444,290.8738241212068,282.1476093975706,273.6831811156435,265.4726856821742,257.5085051117089,,,,,,,,,,,
,,Residual Value after Depreciation,186300,187210,188138.2,189084.964,190050.66327999998,191035.6765456,192040.39007651198,193065.1978780422,194110.50183560303,195176.71187231512,196264.24610976139,197373.53103195663,,,,,,,,,,,
,,TCO ,536923.5839276543,534835.3713583329,532904.5944949139,531128.5592178084,529504.6889314534,525225.002364798,521174.3837096867,517348.21321967046,513742.0478327867,510351.61683539976,507172.8176695189,504201.7118797216,,,,,,,,,,,
,,C 60km/day,-42322.533553014626,-55961.326611803495,-19803.80019176472,-32361.57990975777,-43765.07443981897,-54349.7316854223,-64011.497650378384,-72851.75454896968,-80961.72902991303,-88423.51325612754,-95310.98381398147,-101690.62867291056,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
,,Annual range,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900
,,Electricity amount,3635.4,3635.4,3635.4,3635.4,3635.4,3635.4,3635.4,3635.4,3635.4,3635.4,3635.4,3635.4,3635.4,3635.4,3635.4,3635.4,3635.4,3635.4,3635.4,3635.4,3635.4,3635.4,3635.4
,,Electricity Cost,2908.32,2908.32,2908.32,2908.32,2908.32,2908.32,2908.32,2908.32,2908.32,2908.32,2908.32,2908.32,2908.32,2908.32,2908.32,2908.32,2908.32,2908.32,2908.32,2908.32,2908.32,2908.32,2908.32
,,Discounted Electricity Cost,2908.32,2823.611650485437,2741.3705344518808,2661.5247907299813,2584.004651194157,2508.7423798001523,2435.672213398206,2364.730304270103,2295.854664339906,2228.9851110096174,2164.063214572444,2101.0322471577124,2039.837133162828,1980.4244011289593,1922.7421370184068,1866.739938852822,1812.3688726726432,1759.5814297792651,1708.3314852225876,1658.5742574976578,1610.2662694152018,1563.3653101118466,1517.8303981668412
,,Electricity Cost NPV,21027.97652432992,20415.511188669825,19820.884649194002,19243.57732931457,18683.084785742296,18138.91726771097,17610.599289039776,17097.669212659977,16599.678847242696,16116.193055575433,15646.789374345082,15191.057644995224,,,,,,,,,,,
,,Maintenance Cost,10800,,,,,,,,,,,,,,,,,,,,,,
,,Insurance cost,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300
,,Discounted Insurance Cost,4300,4174.757281553398,4053.162409275144,3935.1091352185863,3820.4943060374626,3709.2177728519055,3601.182303739714,3496.293498776421,3394.4597075499237,3295.591949077596,3199.6038340559185,3106.411489374678,,,,,,,,,,,
,,Insurance cost NPV,31090.216707452633,30184.676415002552,29305.51108252675,28451.952507307524,27623.254861463614,23802.760555426157,20093.54278257425,16492.360478834536,12996.066980058116,9601.607272508192,6306.015323430596,3106.411489374678,,,,,,,,,,,
,,Annual range,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900,21900
,,Oil amount,1533.0000000000002,1533.0000000000002,1533.0000000000002,1533.0000000000002,1533.0000000000002,1533.0000000000002,1533.0000000000002,1533.0000000000002,1533.0000000000002,1533.0000000000002,1533.0000000000002,1533.0000000000002,1533.0000000000002,1533.0000000000002,1533.0000000000002,1533.0000000000002,1533.0000000000002,1533.0000000000002,1533.0000000000002,1533.0000000000002,1533.0000000000002,1533.0000000000002,1533.0000000000002
,,Oil cost,10731.000000000002,10731.000000000002,10731.000000000002,10731.000000000002,10731.000000000002,10731.000000000002,10731.000000000002,10731.000000000002,10731.000000000002,10731.000000000002,10731.000000000002,10731.000000000002,10731.000000000002,10731.000000000002,10731.000000000002,10731.000000000002,10731.000000000002,10731.000000000002,10731.000000000002,10731.000000000002,10731.000000000002,10731.000000000002,10731.000000000002
,,Discounted Oil cost,10731.000000000002,10418.446601941749,10114.99670091432,9820.385146518756,9534.35451118326,9256.654865226466,8987.043558472296,8725.28500822553,8471.150493422847,8224.417954779463,7984.8718007567595,7752.30271918132,7526.507494350797,7307.288829466794,7094.455174239604,6887.820557514178,6687.204424771048,6492.431480360241,6303.331534330331,6119.739353718768,5941.494518173561,5768.441279780158,5600.428426971026
,,NPV oil,77588.16639248238,75328.31688590521,73134.28823874294,71004.16333858538,68936.08091124795,66928.23389441548,64978.86785865581,63086.279474423114,61248.81502371176,59464.86895505997,57732.88248064074,56051.34221421432,,,,,,,,,,,
